brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket,price_bucket_sort,discount_bucket,discount_bucket_sort
Shopmania,Shopmania Music Band A5 Notebook Spiral Bound,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",,499.0,275.0,44.88977955911824,Pens & Stationery,Diaries & Notebooks,<₹500,1,40–60%,4
Tiara Diaries,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound","[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Tiara Diaries Designer >> Tiara Diaries 2016-2017 Designer LA Kaarta \""TAKI...""]",,1000.0,837.0,16.3,Pens & Stationery,Diaries & Notebooks,₹500–1K,2,10–20%,2
KAJCI,KAJCI Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> KAJCI Waistcoats >> KAJCI Embroidered Women's Waistcoat""]",,1200.0,699.0,41.75,Clothing,Women's Clothing,₹500–1K,2,40–60%,4
Packman,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,"[""Pens & Stationery >> Office Supplies >> Packaging Security Bags >> Packman Packaging Security Bags >> Packman 8 x 10 inches Security Bags Without POD ...""]",,350.0,298.0,14.857142857142858,Pens & Stationery,Office Supplies,<₹500,1,10–20%,2
Pick Pocket,Pick Pocket Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> Pick Pocket Waistcoats >> Pick Pocket Embroidered Women's Waistcoat""]",,899.0,899.0,0.0,Clothing,Women's Clothing,₹500–1K,2,0–10%,1
Angelfish,Angelfish Silk Potali Potli,"[""Bags, Wallets & Belts >> Bags >> Pouches and Potlis >> Angelfish Pouches and Potlis >> Angelfish Silk Potali Potli (Multicolor)""]",,999.0,399.0,60.06006006006006,"Bags, Wallets & Belts",Bags,<₹500,1,60–80%,5
Oye,Oye Boy's Dungaree,"[""Clothing >> Kids' Clothing >> Boys Wear >> Dungarees & Jumpsuits >> Dungarees >> Oye Dungarees >> Oye Boy's Dungaree""]",,899.0,764.0,15.016685205784205,Clothing,Kids' Clothing,₹500–1K,2,10–20%,2
Nuride,Nuride Canvas Shoes,"[""Footwear >> Women's Footwear >> Casual Shoes >> Canvas >> Nuride Canvas Shoes""]",,1999.0,1349.0,32.51625812906453,Footwear,Women's Footwear,₹1K–2K,3,20–40%,3
OM SHIVAKRITI,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",,1499.0,1499.0,0.0,Home Decor & Festive Needs,Showpiece,₹1K–2K,3,0–10%,1
Himmlisch,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Sun Shades >> Himmlisch ST381 Magnetic Sun Shade For Maruti Al...""]",,6999.0,1899.0,72.86755250750107,Automotive,Accessories & Spare parts,₹1K–2K,3,60–80%,5
